customer_id,region,membership_level,customer_sustainability_priority,joined_year
CUST_0001,Europe,Silver,2,2024
CUST_0002,Latin America,Standard,5,2023
CUST_0003,Europe,Standard,5,2024
CUST_0004,North America,Standard,4,2021
CUST_0005,Europe,Silver,3,2021
CUST_0006,North America,,5,2022
CUST_0007,Asia-Pacific,Standard,4,2023
CUST_0008,Middle East,Silver,3,2023
CUST_0009,Middle East,Gold,5,2021
CUST_0010,Europe,Standard,3,2023
CUST_0011,Latin America,,1,2024
CUST_0012,Europe,Silver,1,2023
CUST_0013,Europe,Gold,1,2021
CUST_0014,North America,Standard,3,2021
CUST_0015,Latin America,Standard,3,2024
CUST_0016,Latin America,Standard,4,2024
CUST_0017,Middle East,Standard,3,2024
CUST_0018,Asia-Pacific,Silver,4,2023
CUST_0019,North America,Silver,4,2024
CUST_0020,Middle East,Silver,5,2021
CUST_0021,North America,Standard,2,2021
CUST_0022,North America,Silver,5,2024
CUST_0023,Middle East,Standard,5,2023
CUST_0024,Europe,Silver,1,2022
CUST_0025,Latin America,Silver,2,2024
CUST_0026,Asia-Pacific,Standard,3,2023
CUST_0027,Latin America,Gold,2,2023
CUST_0028,Middle East,Gold,5,2021
CUST_0029,Middle East,Gold,5,2023
CUST_0030,Europe,Silver,5,2022
CUST_0031,Europe,Standard,5,2022
CUST_0032,Europe,Standard,1,2023
CUST_0033,North America,Standard,3,2023
CUST_0034,Europe,Gold,1,2022
CUST_0035,Latin America,Standard,5,2021
CUST_0036,Latin America,Platinum,2,2021
CUST_0037,Asia-Pacific,Silver,1,2022
CUST_0038,Asia-Pacific,Silver,4,2021
CUST_0039,Latin America,Silver,5,2022
CUST_0040,Middle East,Silver,5,2023
CUST_0041,North America,Silver,5,2023
CUST_0042,Middle East,Gold,2,2022
CUST_0043,Latin America,Standard,1,2022
CUST_0044,Europe,Platinum,5,2021
CUST_0045,Middle East,Gold,3,2024
CUST_0046,Latin America,Standard,2,2024
CUST_0047,Asia-Pacific,Silver,2,2022
CUST_0048,Latin America,Silver,5,2024
CUST_0049,Europe,Standard,1,2023
CUST_0050,Europe,Gold,1,2023
CUST_0051,Latin America,Standard,3,2024
CUST_0052,Europe,Standard,3,2023
CUST_0053,Middle East,,5,2022
CUST_0054,Middle East,Silver,5,2023
CUST_0055,Latin America,Standard,2,2024
CUST_0056,North America,Standard,3,2024
CUST_0057,North America,Standard,3,2022
CUST_0058,Europe,Silver,2,2021
CUST_0059,Asia-Pacific,Gold,2,2021
CUST_0060,Europe,Gold,1,2024
CUST_0061,North America,Standard,4,2022
CUST_0062,Latin America,Silver,3,2022
CUST_0063,North America,Silver,2,2024
CUST_0064,Latin America,Standard,1,2021
CUST_0065,Latin America,Gold,4,2022
CUST_0066,Asia-Pacific,Standard,1,2022
CUST_0067,North America,Standard,3,2022
CUST_0068,North America,Standard,3,2022
CUST_0069,Asia-Pacific,Standard,3,2023
CUST_0070,Latin America,Gold,3,2021
CUST_0071,Asia-Pacific,Gold,2,2024
CUST_0072,Latin America,Silver,3,2024
CUST_0073,Asia-Pacific,Standard,3,2023
CUST_0074,Middle East,Standard,5,2022
CUST_0075,North America,Standard,5,2024
CUST_0076,Latin America,Gold,3,2023
CUST_0077,Asia-Pacific,Standard,2,2022
CUST_0078,Latin America,Gold,1,2023
CUST_0079,Europe,Standard,4,2023
CUST_0080,Middle East,Silver,5,2023
CUST_0081,Middle East,Standard,2,2024
CUST_0082,Europe,Gold,1,2024
CUST_0083,Latin America,Standard,2,2021
CUST_0084,Latin America,Silver,4,2024
CUST_0085,Middle East,Standard,4,2024
CUST_0086,Middle East,Gold,5,2023
CUST_0087,Europe,Gold,2,2024
CUST_0088,Latin America,Platinum,4,2023
CUST_0089,Latin America,Standard,5,2021
CUST_0090,Asia-Pacific,Silver,4,2023
CUST_0091,Latin America,Silver,3,2021
CUST_0092,North America,Standard,4,2024
CUST_0093,Latin America,,4,2021
CUST_0094,Middle East,Silver,5,2022
CUST_0095,Latin America,Silver,2,2024
CUST_0096,Europe,Gold,4,2021
CUST_0097,North America,Standard,4,2022
CUST_0098,North America,Silver,1,2024
CUST_0099,North America,Silver,3,2024
CUST_0100,Asia-Pacific,Standard,1,2022
CUST_0101,Latin America,Silver,5,2022
CUST_0102,Middle East,Standard,4,2021
CUST_0103,North America,Standard,5,2024
CUST_0104,North America,Gold,4,2024
CUST_0105,Latin America,Platinum,2,2022
CUST_0106,North America,Silver,4,2023
CUST_0107,Europe,Gold,3,2021
CUST_0108,Asia-Pacific,Silver,4,2022
CUST_0109,North America,Gold,2,2021
CUST_0110,North America,Silver,4,2024
CUST_0111,Middle East,Standard,5,2023
CUST_0112,Latin America,Gold,3,2022
CUST_0113,Europe,Silver,3,2022
CUST_0114,North America,Silver,5,2023
CUST_0115,Europe,Standard,2,2024
CUST_0116,Asia-Pacific,Standard,1,2022
CUST_0117,Asia-Pacific,Standard,1,2023
CUST_0118,Asia-Pacific,Standard,2,2022
CUST_0119,Asia-Pacific,Silver,2,2022
CUST_0120,Middle East,Silver,4,2024
CUST_0121,Europe,Platinum,4,2024
CUST_0122,Middle East,Standard,5,2022
CUST_0123,Asia-Pacific,Silver,4,2024
CUST_0124,North America,Standard,2,2024
CUST_0125,Asia-Pacific,Gold,3,2021
CUST_0126,Latin America,Silver,5,2021
CUST_0127,Asia-Pacific,Silver,3,2022
CUST_0128,Asia-Pacific,Standard,2,2024
CUST_0129,Latin America,Standard,1,2024
CUST_0130,Asia-Pacific,Standard,4,2022
CUST_0131,Asia-Pacific,Standard,4,2022
CUST_0132,Asia-Pacific,Silver,2,2024
CUST_0133,Europe,Gold,4,2023
CUST_0134,Latin America,Silver,5,2023
CUST_0135,Latin America,Standard,5,2023
CUST_0136,Latin America,Standard,2,2021
CUST_0137,Asia-Pacific,Silver,4,2021
CUST_0138,Middle East,Gold,5,2021
CUST_0139,Middle East,Standard,3,2024
CUST_0140,Middle East,Standard,3,2022
CUST_0141,Europe,Silver,2,2021
CUST_0142,Europe,Silver,2,2023
CUST_0143,Asia-Pacific,Standard,3,2022
CUST_0144,Latin America,Standard,4,2021
CUST_0145,Europe,Standard,1,2022
CUST_0146,Europe,Silver,5,2022
CUST_0147,North America,Standard,4,2021
CUST_0148,Asia-Pacific,Silver,2,2022
CUST_0149,Middle East,Silver,5,2022
CUST_0150,North America,Gold,5,2024
CUST_0151,Asia-Pacific,,3,2024
CUST_0152,North America,Silver,1,2022
CUST_0153,Latin America,Standard,3,2022
CUST_0154,Middle East,Silver,4,2021
CUST_0155,Asia-Pacific,Silver,2,2021
CUST_0156,North America,Standard,3,2024
CUST_0157,Europe,Gold,1,2022
CUST_0158,North America,Standard,2,2023
CUST_0159,Latin America,Standard,4,2024
CUST_0160,Latin America,,2,2024
CUST_0161,Europe,Standard,3,2021
CUST_0162,North America,Silver,4,2023
CUST_0163,Latin America,Standard,1,2023
CUST_0164,Europe,Standard,1,2024
CUST_0165,Asia-Pacific,Gold,3,2021
CUST_0166,Asia-Pacific,Gold,1,2021
CUST_0167,North America,Standard,2,2021
CUST_0168,North America,Standard,4,2023
CUST_0169,North America,Silver,1,2023
CUST_0170,Middle East,Standard,2,2023
CUST_0171,North America,Standard,1,2022
CUST_0172,Europe,Silver,2,2023
CUST_0173,Europe,Silver,2,2023
CUST_0174,North America,Silver,4,2023
CUST_0175,Asia-Pacific,Standard,5,2023
CUST_0176,North America,Standard,1,2022
CUST_0177,Asia-Pacific,Standard,4,2021
CUST_0178,Europe,Standard,2,2021
CUST_0179,Europe,Standard,2,2022
CUST_0180,Middle East,Gold,1,2024
CUST_0181,North America,Standard,2,2023
CUST_0182,North America,Silver,1,2022
CUST_0183,Asia-Pacific,Platinum,3,2021
CUST_0184,Asia-Pacific,Standard,3,2021
CUST_0185,Latin America,Silver,4,2021
CUST_0186,North America,Silver,4,2024
CUST_0187,Asia-Pacific,Silver,5,2024
CUST_0188,Asia-Pacific,Standard,2,2023
CUST_0189,Europe,Standard,5,2021
CUST_0190,Middle East,Silver,1,2023
CUST_0191,Middle East,Silver,3,2021
CUST_0192,Latin America,Silver,4,2023
CUST_0193,Asia-Pacific,Standard,5,2023
CUST_0194,Europe,Standard,1,2022
CUST_0195,Europe,Standard,3,2022
CUST_0196,Middle East,Silver,1,2023
CUST_0197,Asia-Pacific,Standard,3,2021
CUST_0198,Middle East,Silver,1,2021
CUST_0199,North America,Standard,2,2023
CUST_0200,North America,Platinum,2,2021
CUST_0201,Middle East,Standard,5,2022
CUST_0202,Latin America,Gold,2,2024
CUST_0203,Asia-Pacific,Standard,5,2023
CUST_0204,Latin America,Platinum,5,2024
CUST_0205,Europe,Standard,4,2021
CUST_0206,Latin America,Gold,3,2022
CUST_0207,Europe,Standard,1,2023
CUST_0208,North America,Gold,3,2023
CUST_0209,North America,Gold,2,2024
CUST_0210,Middle East,Silver,2,2021
CUST_0211,Asia-Pacific,Standard,2,2024
CUST_0212,Asia-Pacific,Standard,3,2021
CUST_0213,Europe,Gold,2,2021
CUST_0214,North America,Platinum,3,2021
CUST_0215,North America,Silver,5,2024
CUST_0216,Latin America,Standard,4,2023
CUST_0217,Middle East,Silver,1,2023
CUST_0218,Europe,Standard,5,2021
CUST_0219,Latin America,Standard,1,2021
CUST_0220,Europe,Gold,1,2021
CUST_0221,Middle East,Standard,4,2022
CUST_0222,Asia-Pacific,Silver,4,2022
CUST_0223,Europe,Standard,4,2021
CUST_0224,Asia-Pacific,Platinum,3,2022
CUST_0225,Europe,Silver,3,2023
CUST_0226,Middle East,Standard,1,2022
CUST_0227,North America,Silver,1,2024
CUST_0228,North America,Standard,4,2022
CUST_0229,Asia-Pacific,Silver,5,2024
CUST_0230,Middle East,Platinum,3,2021
CUST_0231,Asia-Pacific,Gold,4,2021
CUST_0232,Middle East,Standard,2,2021
CUST_0233,Europe,Silver,1,2024
CUST_0234,North America,Silver,2,2024
CUST_0235,Latin America,Gold,4,2024
CUST_0236,Europe,Standard,5,2024
CUST_0237,Middle East,Standard,3,2023
CUST_0238,North America,Silver,4,2021
CUST_0239,Latin America,Standard,2,2024
CUST_0240,Asia-Pacific,,1,2024
CUST_0241,Latin America,Standard,3,2022
CUST_0242,North America,Standard,1,2024
CUST_0243,Middle East,Standard,4,2022
CUST_0244,Middle East,Gold,5,2023
CUST_0245,Latin America,Silver,2,2023
CUST_0246,Europe,Silver,1,2024
CUST_0247,Middle East,,2,2023
CUST_0248,Asia-Pacific,Gold,5,2022
CUST_0249,Latin America,Silver,5,2023
CUST_0250,North America,Silver,1,2023
CUST_0251,Latin America,Silver,4,2021
CUST_0252,Latin America,,4,2023
CUST_0253,Asia-Pacific,Silver,1,2023
CUST_0254,Asia-Pacific,Standard,1,2022
CUST_0255,Asia-Pacific,Standard,5,2023
CUST_0256,Middle East,Silver,3,2024
CUST_0257,Europe,Standard,4,2022
CUST_0258,North America,Standard,3,2021
CUST_0259,Latin America,Silver,5,2021
CUST_0260,Latin America,Silver,1,2022
CUST_0261,Latin America,Silver,5,2023
CUST_0262,Europe,Standard,3,2022
CUST_0263,North America,Gold,4,2024
CUST_0264,Europe,,5,2021
CUST_0265,Asia-Pacific,Silver,5,2022
CUST_0266,Middle East,Gold,2,2021
CUST_0267,Middle East,Standard,1,2024
CUST_0268,Latin America,Silver,2,2024
CUST_0269,Latin America,Silver,1,2023
CUST_0270,Middle East,Standard,5,2024
CUST_0271,Middle East,Platinum,5,2023
CUST_0272,Latin America,Silver,1,2021
CUST_0273,Middle East,Silver,2,2021
CUST_0274,Europe,Standard,1,2022
CUST_0275,North America,Standard,3,2023
CUST_0276,Latin America,Silver,1,2022
CUST_0277,Middle East,Silver,4,2022
CUST_0278,Europe,Silver,2,2021
CUST_0279,Middle East,Standard,3,2023
CUST_0280,North America,Standard,5,2021
CUST_0281,Asia-Pacific,Gold,2,2023
CUST_0282,North America,Gold,2,2021
CUST_0283,Middle East,Silver,1,2022
CUST_0284,North America,Silver,5,2022
CUST_0285,Middle East,Standard,4,2022
CUST_0286,Latin America,Silver,1,2023
CUST_0287,Latin America,Silver,3,2022
CUST_0288,Latin America,Silver,3,2023
CUST_0289,Latin America,Silver,5,2021
CUST_0290,Asia-Pacific,Gold,5,2022
CUST_0291,Middle East,Standard,4,2024
CUST_0292,Middle East,Standard,1,2021
